,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[module title],,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Week 6 - Build ,5 days,11/24/2025,11/29/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 7,5 days,11/24/2025,11/28/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Storyboard Initial LD Draft ,2 days,11/24/2025,11/25/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Storyboard SME Scripts Draft ,2 days,11/24/2025,11/25/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Edit ,2 days,11/26/2025,11/27/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Storyboard Final draft agreed,1 days,11/28/2025,11/28/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 7 - Build ,5 days,12/01/2025,12/06/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 8,5 days,12/01/2025,12/05/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Storyboard Initial LD Draft ,2 days,12/01/2025,12/02/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Storyboard SME Scripts Draft ,2 days,12/01/2025,12/02/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Edit ,2 days,12/03/2025,12/04/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Storyboard Final draft agreed,1 days,12/05/2025,12/05/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 8 - Build ,5 days,12/08/2025,12/13/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Finalisation,20 days,12/08/2025,01/02/2026,,,0%,,,,,,,,,,,,,,,,,,,
Film shoot - second batch,5 days,12/08/2025,12/12/2025,,Digital Learning Team,0%,,,,,,,,,,,,,,,,,,,
Proofreading ,5 days,12/15/2025,12/19/2025,,Editorial Team,0%,,,,,,,,,,,,,,,,,,,
Weeks 3 to 8 review,5 days,12/22/2025,12/26/2025,,Academic Reviewer,0%,,,,,,,,,,,,,,,,,,,
   Corrections,5 days,12/29/2025,01/02/2026,"Learning Designer/
Technologist",SME ,0%,,,,,,,,,,,,,,,,,,,
Ready for launch,1 day,01/05/2026,,,,0%,,,,,,,,,,,,,,,,,,,
Go live,,Mon 03/11/25,,,,,,,,,,,,,,,,,,,,,,,
